Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Features,Annotation
P81408,F189B_HUMAN,reviewed,Protein FAM189B (Protein COTE1),FAM189B C1orf2 COTE1,Homo sapiens (Human),668,Alternative sequence (3); Chain (1); Compositional bias (2); Glycosylation (1); Modified residue (4); Natural variant (3); Transmembrane (4),4 out of 5
Q8TBP5,F174A_HUMAN,reviewed,Membrane protein FAM174A (Hepatitis C virus NS5A-transactivated protein 6) (HCV NS5A-transactivated protein 6) (Transmembrane protein 157),FAM174A NS5ATP6 TMEM157 UNQ1912/PRO4371,Homo sapiens (Human),190,Chain (1); Compositional bias (1); Glycosylation (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q8N6M3,FITM2_HUMAN,reviewed,Fat storage-inducing transmembrane protein 2 (Fat-inducing protein 2),FITM2 C20orf142 FIT2,Homo sapiens (Human),262,Chain (1); Natural variant (3); Topological domain (7); Transmembrane (6),5 out of 5
P12319,FCERA_HUMAN,reviewed,High affinity immunoglobulin epsilon receptor subunit alpha (Fc-epsilon RI-alpha) (FcERI) (IgE Fc receptor subunit alpha),FCER1A FCE1A,Homo sapiens (Human),257,Beta strand (19); Chain (1); Disulfide bond (2); Domain (2); Glycosylation (7); Helix (3); Natural variant (2); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q6V0I7,FAT4_HUMAN,reviewed,Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J),FAT4 CDHF14 FATJ Nbla00548,Homo sapiens (Human),4981,Alternative sequence (5); Chain (1); Disulfide bond (20); Domain (42); Erroneous initiation (2); Frameshift (1); Glycosylation (38); Modified residue (1); Natural variant (15); Region (1); Sequence conflict (2); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q9ULW2,FZD10_HUMAN,reviewed,Frizzled-10 (Fz-10) (hFz10) (FzE7) (CD antigen CD350),FZD10,Homo sapiens (Human),581,Chain (1); Disulfide bond (5); Domain (1); Glycosylation (3); Motif (2); Signal peptide (1); Topological domain (8); Transmembrane (7),5 out of 5
P47870,GBRB2_HUMAN,reviewed,Gamma-aminobutyric acid receptor subunit beta-2 (GABA(A) receptor subunit beta-2),GABRB2,Homo sapiens (Human),512,Alternative sequence (6); Binding site (1); Chain (1); Disulfide bond (1); Glycosylation (3); Modified residue (1); Mutagenesis (1); Natural variant (9); Region (3); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (4),5 out of 5
Q6W3E5,GDPD4_HUMAN,reviewed,Glycerophosphodiester phosphodiesterase domain-containing protein 4 (EC 3.1.-.-) (Glycerophosphodiester phosphodiesterase 6) (UgpQ),GDPD4 GDE6 UGPQ,Homo sapiens (Human),623,Alternative sequence (2); Chain (1); Domain (1); Glycosylation (2); Metal binding (3); Natural variant (4); Topological domain (7); Transmembrane (6),4 out of 5
Q9NS67,GPR27_HUMAN,reviewed,Probable G-protein coupled receptor 27 (Super conserved receptor expressed in brain 1),GPR27 SREB1,Homo sapiens (Human),375,Chain (1); Disulfide bond (1); Glycosylation (1); Topological domain (8); Transmembrane (7),4 out of 5
P47775,GPR12_HUMAN,reviewed,G-protein coupled receptor 12,GPR12,Homo sapiens (Human),334,Chain (1); Glycosylation (2); Lipidation (1); Modified residue (2); Topological domain (8); Transmembrane (7),4 out of 5
P23415,GLRA1_HUMAN,reviewed,Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit),GLRA1,Homo sapiens (Human),457,Alternative sequence (1); Chain (1); Disulfide bond (2); Glycosylation (1); Helix (12); Metal binding (3); Mutagenesis (9); Natural variant (18); Region (1); Sequence conflict (2); Signal peptide (1); Site (1); Topological domain (5); Transmembrane (4); Turn (5),5 out of 5
Q96LR9,APLD1_HUMAN,reviewed,Apolipoprotein L domain-containing protein 1 (Vascular early response gene protein),APOLD1 VERGE,Homo sapiens (Human),279,Alternative sequence (1); Chain (1); Coiled coil (1); Compositional bias (1); Erroneous initiation (1); Sequence conflict (1); Transmembrane (3),5 out of 5
Q12797,ASPH_HUMAN,reviewed,Aspartyl/asparaginyl beta-hydroxylase (EC 1.14.11.16) (Aspartate beta-hydroxylase) (ASP beta-hydroxylase) (Peptide-aspartate beta-dioxygenase),ASPH BAH,Homo sapiens (Human),758,Alternative sequence (11); Beta strand (15); Binding site (3); Calcium binding (1); Chain (1); Compositional bias (3); Disulfide bond (1); Glycosylation (3); Helix (22); Metal binding (2); Modified residue (1); Mutagenesis (1); Natural variant (2); Region (1); Repeat (4); Sequence conflict (7); Topological domain (2); Transmembrane (1),5 out of 5
Q8N6S5,AR6P6_HUMAN,reviewed,ADP-ribosylation factor-like protein 6-interacting protein 6 (ARL-6-interacting protein 6) (Aip-6) (Phosphonoformate immuno-associated protein 1),ARL6IP6 PFAAP1,Homo sapiens (Human),226,Chain (1); Modified residue (5); Sequence conflict (1); Transmembrane (3),4 out of 5
P21728,DRD1_HUMAN,reviewed,D(1A) dopamine receptor (Dopamine D1 receptor),DRD1,Homo sapiens (Human),446,Chain (1); Disulfide bond (1); Glycosylation (1); Lipidation (2); Natural variant (6); Sequence conflict (1); Topological domain (8); Transmembrane (7),5 out of 5
Q9BSJ8,ESYT1_HUMAN,reviewed,Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein),ESYT1 FAM62A KIAA0747 MBC2,Homo sapiens (Human),1104,Alternative sequence (1); Chain (1); Coiled coil (1); Compositional bias (2); Domain (6); Erroneous initiation (2); Metal binding (12); Modified residue (10); Mutagenesis (5); Natural variant (1); Region (1); Sequence conflict (5); Topological domain (3); Transmembrane (2),5 out of 5
Q9UKR5,ERG28_HUMAN,reviewed,Ergosterol biosynthetic protein 28 homolog,ERG28 C14orf1 AD-011 HSPC288 x0006,Homo sapiens (Human),140,Chain (1); Erroneous gene model prediction (1); Erroneous initiation (1); Transmembrane (4),5 out of 5
Q96RD9,FCRL5_HUMAN,reviewed,Fc receptor-like protein 5 (FcR-like protein 5) (FcRL5) (BXMAS1) (Fc receptor homolog 5) (FcRH5) (Immune receptor translocation-associated protein 2) (CD antigen CD307e),FCRL5 FCRH5 IRTA2 UNQ503/PRO820,Homo sapiens (Human),977,Alternative sequence (8); Chain (1); Disulfide bond (8); Domain (8); Glycosylation (1); Motif (4); Natural variant (7); Sequence conflict (2); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q96RP7,G3ST4_HUMAN,reviewed,"Galactose-3-O-sulfotransferase 4 (Gal3ST-4) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 4) (Gal-beta-1,3-GalNAc 3'-sulfotransferase)",GAL3ST4 PP6968,Homo sapiens (Human),486,Alternative sequence (2); Chain (1); Glycosylation (1); Natural variant (2); Sequence conflict (3); Topological domain (2); Transmembrane (1),5 out of 5
P09958,FURIN_HUMAN,reviewed,Furin (EC 3.4.21.75) (Dibasic-processing enzyme) (Paired basic amino acid residue-cleaving enzyme) (PACE),FURIN FUR PACE PCSK3,Homo sapiens (Human),794,Active site (3); Beta strand (23); Binding site (6); Chain (1); Disulfide bond (3); Domain (2); Glycosylation (3); Helix (17); Metal binding (12); Modified residue (2); Motif (2); Mutagenesis (6); Natural variant (2); Propeptide (1); Region (4); Repeat (2); Signal peptide (1); Site (2); Topological domain (2); Transmembrane (1); Turn (10),5 out of 5
Q68CQ7,GL8D1_HUMAN,reviewed,Glycosyltransferase 8 domain-containing protein 1 (EC 2.4.1.-),GLT8D1 GALA4A AD-017 MSTP137 UNQ572/PRO1134,Homo sapiens (Human),371,Alternative sequence (2); Chain (1); Frameshift (1); Glycosylation (2); Natural variant (1); Sequence conflict (4); Topological domain (2); Transmembrane (1),3 out of 5
P47869,GBRA2_HUMAN,reviewed,Gamma-aminobutyric acid receptor subunit alpha-2 (GABA(A) receptor subunit alpha-2),GABRA2,Homo sapiens (Human),451,Alternative sequence (2); Chain (1); Disulfide bond (1); Erroneous initiation (1); Glycosylation (2); Natural variant (7); Sequence conflict (2); Signal peptide (1); Topological domain (2); Transmembrane (4),5 out of 5
Q13003,GRIK3_HUMAN,reviewed,"Glutamate receptor ionotropic, kainate 3 (GluK3) (Excitatory amino acid receptor 5) (EAA5) (Glutamate receptor 7) (GluR-7) (GluR7)",GRIK3 GLUR7,Homo sapiens (Human),919,Alternative sequence (1); Binding site (3); Chain (1); Cross-link (1); Disulfide bond (1); Glycosylation (10); Modified residue (1); Natural variant (4); Region (1); Sequence conflict (3); Signal peptide (1); Topological domain (4); Transmembrane (3),5 out of 5
Q7Z695,ADCK2_HUMAN,reviewed,Uncharacterized aarF domain-containing protein kinase 2 (EC 2.7.11.-),ADCK2 AARF,Homo sapiens (Human),626,Active site (1); Binding site (1); Chain (1); Domain (1); Natural variant (6); Nucleotide binding (1); Sequence caution (1); Transmembrane (1),4 out of 5
Q6Q4G3,AMPQ_HUMAN,reviewed,Aminopeptidase Q (AP-Q) (APQ) (EC 3.4.11.-) (CHL2 antigen) (Laeverin),LVRN AQPEP,Homo sapiens (Human),990,Active site (2); Alternative sequence (7); Binding site (1); Chain (1); Erroneous initiation (1); Glycosylation (8); Initiator methionine (1); Metal binding (3); Natural variant (3); Region (1); Sequence conflict (8); Site (1); Topological domain (2); Transmembrane (1),5 out of 5
O60423,AT8B3_HUMAN,reviewed,Phospholipid-transporting ATPase IK (EC 7.6.2.1) (ATPase class I type 8B member 3),ATP8B3 ATP1K FOS37502_2,Homo sapiens (Human),1300,Active site (1); Alternative sequence (3); Chain (1); Erroneous gene model prediction (1); Erroneous initiation (1); Metal binding (2); Natural variant (2); Topological domain (11); Transmembrane (10),5 out of 5
Q8TBM8,DJB14_HUMAN,reviewed,DnaJ homolog subfamily B member 14,DNAJB14 UNQ9427/PRO34683,Homo sapiens (Human),379,Alternative sequence (2); Chain (1); Domain (1); Erroneous initiation (1); Erroneous termination (2); Mutagenesis (1); Sequence caution (1); Sequence conflict (2); Topological domain (2); Transmembrane (1),5 out of 5
Q8N608,DPP10_HUMAN,reviewed,Inactive dipeptidyl peptidase 10 (Dipeptidyl peptidase IV-related protein 3) (DPRP-3) (Dipeptidyl peptidase X) (DPP X) (Dipeptidyl peptidase-like protein 2) (DPL2),DPP10 DPRP3 KIAA1492,Homo sapiens (Human),796,Alternative sequence (3); Beta strand (48); Chain (1); Erroneous initiation (1); Glycosylation (6); Helix (12); Modified residue (2); Mutagenesis (1); Natural variant (3); Region (1); Sequence conflict (5); Topological domain (2); Transmembrane (1); Turn (10),5 out of 5
Q6PCB8,EMB_HUMAN,reviewed,Embigin,EMB,Homo sapiens (Human),327,Alternative sequence (1); Chain (1); Disulfide bond (2); Domain (2); Glycosylation (9); Modified residue (1); Signal peptide (1); Topological domain (2); Transmembrane (1),4 out of 5
Q9Y256,FACE2_HUMAN,reviewed,CAAX prenyl protease 2 (EC 3.4.22.-) (Farnesylated proteins-converting enzyme 2) (FACE-2) (Prenyl protein-specific endoprotease 2) (RCE1 homolog) (hRCE1),RCE1 FACE2 RCE1A RCE1B,Homo sapiens (Human),329,Active site (2); Chain (1); Initiator methionine (1); Modified residue (1); Natural variant (1); Site (2); Transmembrane (7),5 out of 5
P61566,ENK24_HUMAN,reviewed,Endogenous retrovirus group K member 24 Env polyprotein (Envelope polyprotein) (HERV-K101 envelope protein) (HERV-K_22q11.21 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)],ERVK-24,Homo sapiens (Human),588,Chain (3); Region (1); Site (1); Transmembrane (1),4 out of 5
P01133,EGF_HUMAN,reviewed,Pro-epidermal growth factor (EGF) [Cleaved into: Epidermal growth factor (Urogastrone)],EGF,Homo sapiens (Human),1207,Alternative sequence (2); Beta strand (5); Chain (2); Disulfide bond (27); Domain (9); Erroneous gene model prediction (1); Glycosylation (9); Natural variant (15); Region (1); Repeat (9); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (3),5 out of 5
Q96GL9,F163A_HUMAN,reviewed,Protein FAM163A (Cebelin) (Neuroblastoma-derived secretory protein),FAM163A C1orf76 NDSP,Homo sapiens (Human),167,Chain (1); Transmembrane (1),3 out of 5
Q96LA6,FCRL1_HUMAN,reviewed,Fc receptor-like protein 1 (FcR-like protein 1) (FcRL1) (Fc receptor homolog 1) (FcRH1) (IFGP family protein 1) (hIFGP1) (Immune receptor translocation-associated protein 5) (CD antigen CD307a),FCRL1 FCRH1 IFGP1 IRTA5,Homo sapiens (Human),429,Alternative sequence (6); Chain (1); Disulfide bond (3); Domain (3); Glycosylation (1); Motif (5); Natural variant (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
P55899,FCGRN_HUMAN,reviewed,IgG receptor FcRn large subunit p51 (FcRn) (IgG Fc fragment receptor transporter alpha chain) (Neonatal Fc receptor),FCGRT FCRN,Homo sapiens (Human),365,Beta strand (21); Chain (1); Disulfide bond (2); Domain (1); Glycosylation (1); Helix (8); Modified residue (1); Region (4); Sequence conflict (2); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (3),5 out of 5
Q8IUC8,GLT13_HUMAN,reviewed,Polypeptide N-acetylgalactosaminyltransferase 13 (EC 2.4.1.41) (Polypeptide GalNAc transferase 13) (GalNAc-T13) (pp-GaNTase 13) (Protein-UDP acetylgalactosaminyltransferase 13) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 13),GALNT13 KIAA1918,Homo sapiens (Human),556,Alternative sequence (3); Binding site (5); Chain (1); Disulfide bond (5); Domain (1); Erroneous initiation (1); Glycosylation (3); Metal binding (3); Natural variant (1); Region (2); Sequence caution (1); Sequence conflict (1); Topological domain (2); Transmembrane (1),5 out of 5
Q6ICH7,ASPH2_HUMAN,reviewed,Aspartate beta-hydroxylase domain-containing protein 2 (EC 1.14.11.-),ASPHD2,Homo sapiens (Human),369,Binding site (3); Chain (1); Erroneous initiation (2); Glycosylation (1); Metal binding (2); Natural variant (1); Region (1); Topological domain (2); Transmembrane (1),3 out of 5
P02748,CO9_HUMAN,reviewed,Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b],C9,Homo sapiens (Human),559,Chain (3); Disulfide bond (10); Domain (4); Glycosylation (4); Mutagenesis (2); Natural variant (7); Sequence conflict (3); Signal peptide (1); Site (1); Transmembrane (2),5 out of 5
Q9Y271,CLTR1_HUMAN,reviewed,Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor) (G-protein coupled receptor HG55) (HMTMF81),CYSLTR1 CYSLT1,Homo sapiens (Human),337,Chain (1); Disulfide bond (1); Glycosylation (4); Helix (14); Sequence conflict (1); Topological domain (8); Transmembrane (7); Turn (2),5 out of 5
P56746,CLD15_HUMAN,reviewed,Claudin-15,CLDN15,Homo sapiens (Human),228,Chain (1); Disulfide bond (1); Modified residue (3); Mutagenesis (3); Region (1); Site (3); Topological domain (5); Transmembrane (4),5 out of 5
O95406,CNIH1_HUMAN,reviewed,Protein cornichon homolog 1 (CNIH-1) (Cornichon family AMPA receptor auxiliary protein 1) (Protein cornichon homolog) (T-cell growth-associated molecule 77) (TGAM77),CNIH1 CNIH CNIL UNQ155/PRO181,Homo sapiens (Human),144,Chain (1); Topological domain (4); Transmembrane (3),5 out of 5
A6NIL9,CRAS1_HUMAN,reviewed,Putative uncharacterized protein CRYM-AS1 (CRYM antisense RNA 1) (CRYM antisense gene protein 1),CRYM-AS1 NCRNA00169,Homo sapiens (Human),109,Chain (1); Transmembrane (1),2 out of 5
P49682,CXCR3_HUMAN,reviewed,C-X-C chemokine receptor type 3 (CXC-R3) (CXCR-3) (CKR-L2) (G protein-coupled receptor 9) (Interferon-inducible protein 10 receptor) (IP-10 receptor) (CD antigen CD183),CXCR3 GPR9,Homo sapiens (Human),368,Alternative sequence (2); Chain (1); Disulfide bond (1); Glycosylation (2); Modified residue (2); Mutagenesis (17); Natural variant (2); Sequence conflict (2); Topological domain (8); Transmembrane (7),5 out of 5
P79483,DRB3_HUMAN,reviewed,"HLA class II histocompatibility antigen, DR beta 3 chain (MHC class II antigen DRB3)",HLA-DRB3,Homo sapiens (Human),266,Beta strand (13); Chain (1); Disulfide bond (2); Domain (1); Glycosylation (1); Helix (5); Natural variant (42); Region (2); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (4),5 out of 5
P04440,DPB1_HUMAN,reviewed,"HLA class II histocompatibility antigen, DP beta 1 chain (HLA class II histocompatibility antigen, DP(W4) beta chain) (MHC class II antigen DPB1)",HLA-DPB1 HLA-DP1B,Homo sapiens (Human),258,Beta strand (13); Chain (1); Disulfide bond (2); Domain (1); Frameshift (1); Glycosylation (1); Helix (6); Natural variant (56); Region (3); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (2),5 out of 5
Q6GMR7,FAAH2_HUMAN,reviewed,Fatty-acid amide hydrolase 2 (EC 3.5.1.99) (Amidase domain-containing protein) (Anandamide amidohydrolase 2) (Oleamide hydrolase 2),FAAH2 AMDD,Homo sapiens (Human),532,Active site (3); Chain (1); Compositional bias (1); Sequence conflict (1); Transmembrane (1),5 out of 5
Q9GZN0,GPR88_HUMAN,reviewed,Probable G-protein coupled receptor 88 (Striatum-specific G-protein coupled receptor),GPR88 STRG,Homo sapiens (Human),384,Chain (1); Glycosylation (1); Natural variant (2); Topological domain (8); Transmembrane (7),5 out of 5
Q6ZMG9,CERS6_HUMAN,reviewed,Ceramide synthase 6 (CerS6) (EC 2.3.1.-) (LAG1 longevity assurance homolog 6),CERS6 LASS6,Homo sapiens (Human),384,Alternative sequence (1); Chain (1); Domain (1); Erroneous translation (1); Glycosylation (1); Mutagenesis (3); Region (1); Topological domain (2); Transmembrane (5),5 out of 5
Q8NCH0,CHSTE_HUMAN,reviewed,Carbohydrate sulfotransferase 14 (EC 2.8.2.35) (Dermatan 4-sulfotransferase 1) (D4ST-1) (hD4ST1),CHST14 D4ST1 UNQ1925/PRO4400,Homo sapiens (Human),376,Chain (1); Erroneous initiation (1); Glycosylation (2); Natural variant (6); Nucleotide binding (2); Sequence conflict (2); Topological domain (2); Transmembrane (1),5 out of 5
Q9H9P2,CHODL_HUMAN,reviewed,Chondrolectin (Transmembrane protein MT75),CHODL C21orf68 PRED12 UNQ872/PRO1890,Homo sapiens (Human),273,Alternative sequence (3); Chain (1); Disulfide bond (2); Domain (1); Glycosylation (1); Sequence conflict (2); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q8WVX3,CD003_HUMAN,reviewed,Uncharacterized protein C4orf3 (Hepatitis C virus F protein-transactivated protein 1) (HCV F-transactivated protein 1),C4orf3,Homo sapiens (Human),66,Alternative sequence (1); Chain (1); Modified residue (1); Natural variant (2); Transmembrane (1),5 out of 5
Q9BYE9,CDHR2_HUMAN,reviewed,Cadherin-related family member 2 (Protocadherin LKC) (PC-LKC) (Protocadherin-24),CDHR2 PCDH24 PCLKC,Homo sapiens (Human),1310,Beta strand (17); Chain (1); Domain (9); Erroneous initiation (1); Glycosylation (24); Helix (4); Modified residue (2); Mutagenesis (1); Natural variant (9); Region (1); Sequence conflict (2); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (3),5 out of 5
Q8TBE1,CNIH3_HUMAN,reviewed,Protein cornichon homolog 3 (CNIH-3) (Cornichon family AMPA receptor auxiliary protein 3),CNIH3,Homo sapiens (Human),160,Chain (1); Topological domain (4); Transmembrane (3),5 out of 5
Q13286,CLN3_HUMAN,reviewed,Battenin (Batten disease protein) (Protein CLN3),CLN3 BTS,Homo sapiens (Human),438,Alternative sequence (8); Chain (1); Glycosylation (3); Lipidation (1); Modified residue (3); Motif (3); Mutagenesis (8); Natural variant (10); Propeptide (1); Sequence conflict (1); Topological domain (7); Transmembrane (6),5 out of 5
O75503,CLN5_HUMAN,reviewed,"Ceroid-lipofuscinosis neuronal protein 5 (Protein CLN5) [Cleaved into: Ceroid-lipofuscinosis neuronal protein 5, secreted form]",CLN5,Homo sapiens (Human),358,Chain (2); Erroneous initiation (1); Glycosylation (8); Mutagenesis (8); Natural variant (16); Region (1); Sequence conflict (2); Topological domain (2); Transmembrane (1),5 out of 5
Q96PZ7,CSMD1_HUMAN,reviewed,CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1),CSMD1 KIAA1890 UNQ5952/PRO19863,Homo sapiens (Human),3564,Alternative sequence (6); Beta strand (4); Chain (1); Disulfide bond (70); Domain (42); Erroneous initiation (1); Glycosylation (40); Natural variant (6); Sequence conflict (16); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q8NHS1,CLDN2_HUMAN,reviewed,Claudin domain-containing protein 2,CLDND2,Homo sapiens (Human),167,Chain (1); Transmembrane (4),5 out of 5
Q8NEA5,CS018_HUMAN,reviewed,Uncharacterized protein C19orf18,C19orf18,Homo sapiens (Human),215,Chain (1); Natural variant (1); Signal peptide (1); Topological domain (2); Transmembrane (1),2 out of 5
Q96D31,CRCM1_HUMAN,reviewed,Calcium release-activated calcium channel protein 1 (Protein orai-1) (Transmembrane protein 142A),ORAI1 CRACM1 TMEM142A,Homo sapiens (Human),301,Alternative sequence (1); Chain (1); Compositional bias (1); Erroneous initiation (3); Glycosylation (1); Helix (2); Modified residue (2); Mutagenesis (9); Natural variant (6); Region (2); Sequence conflict (1); Topological domain (5); Transmembrane (4),5 out of 5
Q16850,CP51A_HUMAN,reviewed,Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase),CYP51A1 CYP51,Homo sapiens (Human),503,Alternative sequence (1); Beta strand (16); Chain (1); Erroneous initiation (7); Helix (23); Metal binding (1); Natural variant (1); Sequence conflict (4); Transmembrane (1); Turn (5),5 out of 5
Q9Y6H8,CXA3_HUMAN,reviewed,Gap junction alpha-3 protein (Connexin-46) (Cx46),GJA3,Homo sapiens (Human),435,Chain (1); Disulfide bond (3); Initiator methionine (1); Intramembrane (1); Mutagenesis (1); Natural variant (21); Topological domain (5); Transmembrane (4),5 out of 5
P35212,CXA4_HUMAN,reviewed,Gap junction alpha-4 protein (Connexin-37) (Cx37),GJA4,Homo sapiens (Human),333,Chain (1); Natural variant (4); Topological domain (5); Transmembrane (4),5 out of 5
P52569,CTR2_HUMAN,reviewed,Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2),SLC7A2 ATRC2 CAT2,Homo sapiens (Human),658,Alternative sequence (2); Chain (1); Erroneous initiation (4); Frameshift (1); Glycosylation (3); Modified residue (7); Natural variant (4); Sequence conflict (8); Topological domain (15); Transmembrane (14),5 out of 5
Q8N8Z6,DCBD1_HUMAN,reviewed,"Discoidin, CUB and LCCL domain-containing protein 1",DCBLD1,Homo sapiens (Human),715,Alternative sequence (2); Chain (1); Compositional bias (1); Disulfide bond (4); Domain (3); Erroneous initiation (1); Frameshift (1); Glycosylation (6); Modified residue (2); Sequence conflict (2); Signal peptide (1); Topological domain (2); Transmembrane (1),3 out of 5
Q19T08,ECSCR_HUMAN,reviewed,Endothelial cell-specific chemotaxis regulator (Apoptosis regulator through modulating IAP expression) (ARIA) (Endothelial cell-specific molecule 2),ECSCR ECSM2,Homo sapiens (Human),205,Chain (1); Compositional bias (1); Modified residue (1); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
O43570,CAH12_HUMAN,reviewed,Carbonic anhydrase 12 (EC 4.2.1.1) (Carbonate dehydratase XII) (Carbonic anhydrase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3),CA12,Homo sapiens (Human),354,Active site (1); Alternative sequence (1); Beta strand (16); Chain (1); Disulfide bond (1); Domain (1); Glycosylation (3); Helix (9); Metal binding (3); Natural variant (2); Region (1); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (2),5 out of 5
P09693,CD3G_HUMAN,reviewed,T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g),CD3G T3G,Homo sapiens (Human),182,Beta strand (7); Chain (1); Disulfide bond (1); Domain (2); Glycosylation (2); Helix (1); Modified residue (2); Motif (1); Mutagenesis (7); Natural variant (1); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (1),5 out of 5
Q5VV42,CDKAL_HUMAN,reviewed,Threonylcarbamoyladenosine tRNA methylthiotransferase (EC 2.8.4.5) (CDK5 regulatory subunit-associated protein 1-like 1) (tRNA-t(6)A37 methylthiotransferase),CDKAL1,Homo sapiens (Human),579,Alternative sequence (4); Chain (1); Domain (3); Frameshift (1); Metal binding (6); Modified residue (3); Natural variant (1); Sequence conflict (1); Transmembrane (1),5 out of 5
Q8N326,CJ111_HUMAN,reviewed,Putative uncharacterized protein RPP38-DT (RPP38 divergent transcript protein),RPP38-DT C10orf111,Homo sapiens (Human),155,Chain (1); Natural variant (1); Transmembrane (1),2 out of 5
O75508,CLD11_HUMAN,reviewed,Claudin-11 (Oligodendrocyte-specific protein),CLDN11 OSP OTM,Homo sapiens (Human),207,Chain (1); Modified residue (2); Sequence conflict (3); Topological domain (5); Transmembrane (4),5 out of 5
Q9NZV1,CRIM1_HUMAN,reviewed,Cysteine-rich motor neuron 1 protein (CRIM-1) (Cysteine-rich repeat-containing protein S52) [Cleaved into: Processed cysteine-rich motor neuron 1 protein],CRIM1 S52 UNQ1886/PRO4330,Homo sapiens (Human),1036,Chain (2); Domain (11); Erroneous initiation (1); Glycosylation (5); Modified residue (1); Motif (1); Natural variant (2); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
O95727,CRTAM_HUMAN,reviewed,Cytotoxic and regulatory T-cell molecule (Class-I MHC-restricted T-cell-associated molecule) (CD antigen CD355),CRTAM,Homo sapiens (Human),393,Alternative sequence (2); Beta strand (7); Chain (1); Disulfide bond (2); Domain (2); Erroneous initiation (1); Glycosylation (3); Helix (1); Motif (1); Mutagenesis (4); Natural variant (5); Sequence conflict (2); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
P07333,CSF1R_HUMAN,reviewed,Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115),CSF1R FMS,Homo sapiens (Human),972,Active site (1); Alternative sequence (2); Beta strand (55); Binding site (1); Chain (1); Disulfide bond (4); Domain (6); Glycosylation (11); Helix (21); Modified residue (9); Mutagenesis (5); Natural variant (37); Nucleotide binding (1); Region (2); Sequence conflict (4); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (9),5 out of 5
Q8WY07,CTR3_HUMAN,reviewed,Cationic amino acid transporter 3 (CAT-3) (CAT3) (Cationic amino acid transporter y+) (Solute carrier family 7 member 3),SLC7A3 ATRC3 CAT3,Homo sapiens (Human),619,Chain (1); Erroneous initiation (1); Glycosylation (1); Modified residue (2); Natural variant (2); Sequence conflict (2); Topological domain (15); Transmembrane (14),5 out of 5
Q96KN9,CXD4_HUMAN,reviewed,Gap junction delta-4 protein (Connexin-40.1) (Cx40.1),GJD4 CX40.1,Homo sapiens (Human),370,Chain (1); Natural variant (3); Sequence conflict (1); Topological domain (5); Transmembrane (4),3 out of 5
Q8IX94,CTGE4_HUMAN,reviewed,cTAGE family member 4 (Protein cTAGE-4),CTAGE4,Homo sapiens (Human),777,Chain (1); Coiled coil (2); Compositional bias (2); Erroneous initiation (1); Frameshift (1); Sequence conflict (6); Transmembrane (1),3 out of 5
